,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_model_name,params_weight_decay,system_attrs_grid_id,system_attrs_search_space,state
65,65,21.665347154307995,2025-11-22 04:46:38.662568,2025-11-22 04:47:37.760482,0 days 00:00:59.097914,0.0005,distilbert-base-cased,0.01,65,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
66,66,13.222850615070085,2025-11-22 04:47:37.760812,2025-11-22 04:49:19.573042,0 days 00:01:41.812230,5e-05,bert-base-uncased,0.005,66,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
67,67,14.555438892641337,2025-11-22 04:49:19.573376,2025-11-22 04:51:01.069800,0 days 00:01:41.496424,5e-06,distilbert-base-cased,0.0,67,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
68,68,14.554359728302108,2025-11-22 04:51:01.070133,2025-11-22 04:52:43.146083,0 days 00:01:42.075950,5e-06,distilbert-base-cased,0.005,68,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
69,69,12.406442690925905,2025-11-22 04:52:43.146403,2025-11-22 04:54:19.458973,0 days 00:01:36.312570,1e-05,distilbert-base-uncased,0.0,69,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
70,70,21.191600963283214,2025-11-22 04:54:19.459293,2025-11-22 04:56:01.347293,0 days 00:01:41.888000,0.0005,bert-base-uncased,0.01,70,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
71,71,15.162010793434224,2025-11-22 04:56:01.347623,2025-11-22 04:57:37.418108,0 days 00:01:36.070485,5e-06,distilbert-base-uncased,0.0,71,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
72,72,12.380673150184798,2025-11-22 04:57:37.418431,2025-11-22 04:59:19.335306,0 days 00:01:41.916875,1e-05,distilbert-base-cased,0.0,72,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
73,73,21.622480045009286,2025-11-22 04:59:19.335640,2025-11-22 05:00:15.358121,0 days 00:00:56.022481,0.0005,distilbert-base-uncased,0.005,73,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
74,74,21.306438100505503,2025-11-22 05:00:15.358438,2025-11-22 05:02:01.060614,0 days 00:01:45.702176,0.0001,roberta-base,0.005,74,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
75,75,10.788317126377718,2025-11-22 05:02:01.060951,2025-11-22 05:05:09.609503,0 days 00:03:08.548552,5e-05,bert-base-cased,0.005,75,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
76,76,7.392432813543477,2025-11-22 05:05:09.609856,2025-11-22 05:07:12.825932,0 days 00:02:03.216076,0.0001,distilbert-base-uncased,0.0,76,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
77,77,15.758696075471933,2025-11-22 05:07:12.826269,2025-11-22 05:08:54.671099,0 days 00:01:41.844830,1e-05,bert-base-uncased,0.01,77,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
78,78,6.340062598180026,2025-11-22 05:08:54.671439,2025-11-22 05:12:17.583146,0 days 00:03:22.911707,5e-05,distilbert-base-cased,0.005,78,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
79,79,21.80463667075697,2025-11-22 05:12:17.583514,2025-11-22 05:13:16.326151,0 days 00:00:58.742637,0.001,distilbert-base-cased,0.0,79,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
80,80,12.404628961126088,2025-11-22 05:13:16.326471,2025-11-22 05:14:53.006123,0 days 00:01:36.679652,1e-05,distilbert-base-uncased,0.005,80,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
81,81,21.305117784190806,2025-11-22 05:14:53.006451,2025-11-22 05:16:38.369817,0 days 00:01:45.363366,0.0001,roberta-base,0.0,81,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
82,82,21.190963206935557,2025-11-22 05:16:38.370165,2025-11-22 05:18:23.453934,0 days 00:01:45.083769,0.0005,roberta-base,0.0,82,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
83,83,16.688174889583024,2025-11-22 05:18:23.454259,2025-11-22 05:20:08.911372,0 days 00:01:45.457113,5e-06,roberta-base,0.01,83,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
84,84,21.846494563747083,2025-11-22 05:20:08.911722,2025-11-22 05:21:04.370523,0 days 00:00:55.458801,0.001,distilbert-base-uncased,0.0,84,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
85,85,15.162496852976968,2025-11-22 05:21:04.370860,2025-11-22 05:22:40.931104,0 days 00:01:36.560244,5e-06,distilbert-base-uncased,0.01,85,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
86,86,15.893915367953364,2025-11-22 05:22:40.931443,2025-11-22 05:24:26.527558,0 days 00:01:45.596115,1e-05,roberta-base,0.005,86,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
87,87,15.789871589714545,2025-11-22 05:24:26.527891,2025-11-22 05:26:08.197969,0 days 00:01:41.670078,1e-05,bert-base-uncased,0.005,87,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
88,88,7.518815859701484,2025-11-22 05:26:08.198303,2025-11-22 05:32:19.352760,0 days 00:06:11.154457,5e-05,bert-base-cased,0.01,88,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
89,89,9.062860820056986,2025-11-22 05:32:19.353110,2025-11-22 05:34:15.811328,0 days 00:01:56.458218,0.0001,distilbert-base-cased,0.01,89,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
